"oil" "HCR" "FDR" "HMR" "Material"
"292" 2.92 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"293" 2.93 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"294" 2.94 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"295" 2.95 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"296" 2.96 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"297" 2.97 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"298" 2.98 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"299" 2.99 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"300" 3 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"301" 3.01 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"302" 3.02 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"303" 3.03 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"304" 3.04 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"305" 3.05 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"306" 3.06 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"307" 3.07 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"308" 3.08 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"309" 3.09 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"310" 3.1 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"311" 3.11 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"312" 3.12 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"313" 3.13 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"314" 3.14 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"315" 3.15 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"316" 3.16 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"317" 3.17 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"318" 3.18 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"319" 3.19 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"320" 3.2 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"321" 3.21 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"322" 3.22 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"323" 3.23 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"324" 3.24 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"325" 3.25 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"326" 3.26 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"327" 3.27 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"328" 3.28 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"329" 3.29 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"330" 3.3 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"331" 3.31 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"332" 3.32 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"333" 3.33 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"334" 3.34 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"335" 3.35 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"336" 3.36 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"337" 3.37 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"338" 3.38 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"339" 3.39 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"340" 3.4 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"341" 3.41 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"342" 3.42 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"343" 3.43 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"344" 3.44 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"345" 3.45 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"346" 3.46 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"347" 3.47 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"348" 3.48 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"349" 3.49 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"350" 3.5 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"351" 3.51 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"352" 3.52 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"353" 3.53 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"354" 3.54 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"355" 3.55 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"356" 3.56 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"357" 3.57 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"358" 3.58 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"359" 3.59 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"360" 3.6 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"361" 3.61 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"362" 3.62 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"363" 3.63 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"364" 3.64 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"365" 3.65 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"366" 3.66 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"367" 3.67 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
"368" 3.68 0.516279069767442 0 0.990476190476191 "GY923/BY815/CHOI4"
